parameter_1,parameter_2
0.425232567256632,0.353864277480404
0.425232567256632,0.353864277480404
0.425232567256632,0.353864277480404
0.140898200847381,0.286274969918488
0.883911162134979,-0.652349599637539
-1.14841624349896,-0.7590339882464
-1.14841624349896,-0.7590339882464
-1.40432792822843,-1.07747241880168
-1.2376785893113,-0.921805666304155
-0.806100877923958,-1.18055360414351
-0.806100877923958,-1.18055360414351
-1.06576561684528,-0.811660290667548
-1.26361707809743,-0.762961963372837
-0.809410435544705,-0.650435245128012
-1.38841806256592,-0.946806880401801
-1.64184167548055,-1.25655554106214
-1.82412141390119,-1.29191711344974
-1.27431651017321,-1.75980918378061
-1.04358381903419,-1.97884375069312
-0.808682362624816,-1.15763627716908
-0.701599754219533,0.576074388417875
-0.580205345885267,0.860688702484186
-0.689687461747647,1.14282278280977
-1.43358225425977,0.880258673949055
-1.98054961427436,1.23761176960997
-1.04551663469552,1.49066013018159
-1.65945792968686,1.23505051380635
-1.16468041824282,1.62642087735731
-0.744864881796377,0.537327100416353
-0.789864222120252,0.530318474450391
-0.480002519635492,0.463889741399923
-0.842484462821825,1.21724996361605
-0.842484462821825,1.21724996361605
-0.842484462821825,1.21724996361605
-0.842484462821825,1.21724996361605
-1.16990211952918,1.81053756342773
-1.84011598455365,1.23625979463617
-0.152107910175012,-0.312117623373352
0.192513956313579,-0.294044868455055
1.06851120342659,1.58198030165814
1.4655884567493,0.874968543921585
1.2251725195023,1.83868945787644
0.894698817525367,1.29129654229534
0.747831253935103,0.591721323672796
0.747831253935103,0.591721323672796
0.395902664795016,0.505663582039516
0.298744740839416,0.275870430295608
0.298744740839416,0.275870430295608
0.664986323198786,-0.515133739896838
0.0479797774914248,0.289432491768061
-0.859879709356962,1.35026154845538
-1.12903024737682,0.808900142996842
-1.27612438240467,0.844387742781132
-0.650258731712441,0.97836980927974
-0.650258731712441,0.97836980927974
-1.76531868436662,1.15891937380363
-0.932937846661598,0.587384287803389
-1.95928151003309,1.31144377074635
-1.8698210241014,1.17017047492473
-1.045809775754,1.42370447950303
-1.97311835701416,1.23874770662716
-1.49776201022203,1.10566153109681
-1.72648618316415,1.1789972737374
-1.77929120482131,0.880956416264872
-1.3420867430297,1.72791085929597
-1.07075042766395,1.7553171830556
-1.05321556143727,1.72492068014372
-0.590922881673296,0.444568041706402
-0.545417024120783,0.622218393833294
-0.755699021909786,0.592473548016204
-0.534833854974943,0.744081946189059
0.5261041008467,0.654286952408583
1.40236129053833,0.937001675580391
0.98527921030249,0.680659938790025
0.98527921030249,0.680659938790025
-0.455617946156384,0.549683744019727
-0.455617946156384,0.549683744019727
-0.0558810735214716,0.268317189103202
-0.271420410010701,0.0560123838872399
-0.431811921227777,-0.386962748163316
-0.431811921227777,-0.386962748163316
0.495114587913737,-0.750546501922944
0.612919791769469,-0.95779246828151
0.411892259921156,-0.496029116654812
1.05752827871024,-0.808581605613003
0.402023480143182,0.453959011483062
0.402023480143182,0.453959011483062
0.279143692239592,0.126566207079483
-0.266059642588031,-0.0318862577916153
-1.19650372444301,-0.816555608061822
-1.37894738967272,-0.925595957179368
-0.806340859451649,-1.119928991515
-1.95168961535945,-1.21993636754429
-1.96579654025654,-1.33395308342781
-1.87924572407051,-1.16821750459725
-1.98865155647418,-1.22629304932379
-0.500213140854366,-0.628805051214025
-1.3486208688773,-0.89988907942182
-1.50500958203065,-0.950981430904717
-1.46364961239642,-0.971176045444035
-1.46364961239642,-0.971176045444035
-1.75603710664942,-1.10259468657836
-0.965661926491785,-1.51652535017147
-0.965661926491785,-1.51652535017147
-1.06461812630549,-1.7826204496101
-1.06461812630549,-1.7826204496101
-1.08873353054296,-1.85903839478766
-0.987204970757606,-1.74447578026813
-1.1503316322035,-0.856238917276912
-1.48004774978478,-0.90379984941556
